symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
Hs,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,22.0,0.0,,,108.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,"[3.0, 4.0]",1.0,270.0,,,18.08,4.0,1.0,,4.0,6.0,,8.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Mt,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,23.0,0.0,,,109.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,"[3.0, 4.0]",1.0,276.0,,,18.08,3.0,1.0,,3.0,7.0,,9.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Ds,,,,,4.166321749,,,,,3.306811764,,1.0,0.3180036375,,24.0,0.0,,,110.0,0.0,14.0,,,,0.0,,,1.0,,,,,,0.0,0.0,,"[2.0, 4.0]",1.0,281.0,,,18.08,2.0,1.0,,1.0,9.0,,10.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Rg,,,,,4.166321749,,,,4.06,3.306811764,,1.0,0.3180036375,4.06,25.0,0.0,,,111.0,0.0,14.0,,,,0.0,,,1.0,,,,,,0.0,0.0,,"[1.0, 3.0]",1.0,280.0,,,18.08,1.0,1.0,,0.0,10.0,,11.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Cn,,,,,4.166321749,,,,,3.306811764,,2.0,0.3180036375,,26.0,0.0,,,112.0,0.0,14.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,"[1.0, 2.0]",1.0,285.0,,,18.08,0.0,1.0,,0.0,10.0,,12.0,27.31,0.0,,,,,-14.326634305,,,,,,0.0,7.0,,0.0
Nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Og,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
